epoch,accuracy,loss,val_accuracy,val_loss
0,0.3556601107120514,1.3351749181747437,0.3890489935874939,1.3096288442611694
1,0.6338223218917847,1.0127242803573608,0.6282420754432678,0.974555492401123
2,0.7982286214828491,0.5839511156082153,0.651296854019165,0.8181253671646118
3,0.8502629399299622,0.4144023656845093,0.6974063515663147,0.8205124139785767
4,0.8895654678344727,0.3217422366142273,0.6657060384750366,0.8475541472434998
5,0.9136451482772827,0.26412132382392883,0.6570605039596558,0.9073526859283447
6,0.9305286407470703,0.2188332974910736,0.6599423885345459,0.9752191305160522
7,0.9451978802680969,0.18196655809879303,0.6599423885345459,1.0352774858474731
8,0.9540547728538513,0.15770180523395538,0.6628242135047913,1.18083655834198
9,0.9573761224746704,0.1386556625366211,0.6685879230499268,1.1510761976242065
10,0.9629117250442505,0.12496157735586166,0.6714697480201721,1.226723074913025
11,0.9634652733802795,0.11693502962589264,0.6772334575653076,1.2353665828704834
12,0.9659562706947327,0.10991068929433823,0.6743515729904175,1.27480149269104
13,0.9692776203155518,0.09981928020715714,0.6541786789894104,1.3396910429000854
14,0.9692776203155518,0.09163771569728851,0.6455331444740295,1.4093797206878662
15,0.974259614944458,0.09077039361000061,0.6714697480201721,1.3869526386260986
16,0.9725989699363708,0.09166008234024048,0.6599423885345459,1.439673662185669
17,0.9739828109741211,0.07936032116413116,0.6455331444740295,1.5143080949783325
18,0.9759202599525452,0.07105520367622375,0.6657060384750366,1.5167362689971924
19,0.976473867893219,0.07847068458795547,0.6599423885345459,1.5544908046722412
20,0.9748131632804871,0.07534840703010559,0.6714697480201721,1.5228041410446167
21,0.975643515586853,0.07139557600021362,0.6541786789894104,1.5269970893859863
22,0.9778577089309692,0.06629323959350586,0.651296854019165,1.567025899887085
23,0.9773041605949402,0.06469564884901047,0.651296854019165,1.6450639963150024
24,0.9759202599525452,0.064372219145298,0.6484149694442749,1.6804921627044678
