epoch,accuracy,loss,val_accuracy,val_loss
0,0.5295138359069824,1.3027467727661133,0.5425326228141785,1.2681025266647339
1,0.5533915162086487,1.2359070777893066,0.5474694967269897,1.2546244859695435
2,0.5637069344520569,1.2083429098129272,0.5487937331199646,1.2582930326461792
3,0.5708823204040527,1.1892708539962769,0.5476495027542114,1.2611587047576904
4,0.5766838192939758,1.1748863458633423,0.5477973818778992,1.2646598815917969
5,0.5809900164604187,1.163054347038269,0.5458303093910217,1.2684988975524902
6,0.5849569439888,1.1533268690109253,0.5455860495567322,1.2745163440704346
7,0.5885961651802063,1.1448298692703247,0.5444353818893433,1.2801704406738281
8,0.5914853811264038,1.1372530460357666,0.542487621307373,1.2853045463562012
9,0.594054639339447,1.1306192874908447,0.5432011485099792,1.2897257804870605
10,0.596210777759552,1.1247153282165527,0.5413112640380859,1.2964012622833252
11,0.5988715291023254,1.119160532951355,0.539877712726593,1.3023747205734253
12,0.6004946231842041,1.114397644996643,0.5390163660049438,1.308958649635315
13,0.6023584604263306,1.1097720861434937,0.5385985374450684,1.3116415739059448
14,0.6043376922607422,1.1056416034698486,0.5386177897453308,1.322299838066101
15,0.6058192253112793,1.1016985177993774,0.5363293290138245,1.323516845703125
16,0.6073246002197266,1.098010540008545,0.5373578667640686,1.3304557800292969
17,0.6089423298835754,1.0948774814605713,0.5354422330856323,1.3369312286376953
18,0.6102145910263062,1.0916820764541626,0.53355872631073,1.3351025581359863
19,0.6113107800483704,1.088853359222412,0.5340215563774109,1.342298984527588
20,0.6123569011688232,1.0860100984573364,0.5324466824531555,1.349295973777771
21,0.6135200262069702,1.0833065509796143,0.533012330532074,1.3501417636871338
22,0.6144315600395203,1.0809342861175537,0.533012330532074,1.3516249656677246
23,0.6157915592193604,1.0782898664474487,0.5311866998672485,1.3576443195343018
24,0.6163846254348755,1.0762487649917603,0.5289625525474548,1.364519476890564
